Created Date;UTM_Campaign;UTM_Content ;UTM_Term;Account Owner Territory;Marketo Qualification Level;Marketo Interest Level;Account Status;Unmatched;Hand Raiser;UTM_Medium
12/5/2022;fy22-amer-email_marketing;mt_email_marketing_platform_ad_copy_fy21;email_marketing|email marketing|p|g|m||542343632615;;High;Low;No Account Mapped;1;0;paid-search
12/9/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
12/21/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Enterprise - East;Medium;Low;Assigned;0;0;paid-content-syndication
11/15/2022;fy22-amer-email_marketing_platform;;software_for_email_marketing|platform for email marketing|p|g|m||542343389198#CjwKCAiAjs2bBhACEiwALTBWZW2WgVJyuNrWVhJ1gpSTwMOhY-TQS6bEL3VIOSSiAPTMkNkyxft-LhoC8tsQAvD_BwE;;Low;;No Account Mapped;1;1;paid-search
12/9/2022;fy22-amer-email_marketing;mt_email_marketing_platform_ad_copy_fy21;email_marketing|email marketing|p|g|c||542343632615#Cj0KCQiA1sucBhDgARIsAFoytUvpraaebyVLPl9Y4WAAo5MjOdGPZuE8LyilpY8zlHzrcpEdA2cWKyUaAs-1EALw_wcB;;High;Low;No Account Mapped;1;1;paid-search
12/19/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Emerging Ent - West - 2;Medium;Low;Assigned;0;0;paid-content-syndication
1/16/2023;fy22-q1-amer-customer_engagement_review;customer_engagement_review;customer_engagement_strategies|customer engagement strategies|e|g|c||499449654236;;High;Low;No Account Mapped;1;0;paid-search
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Enterprise - Central;Medium;Low;Assigned;0;0;paid-content-syndication
1/17/2023;fy23-q4-amer-customer_engagement_review_canada;;;AMER Scale - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
12/16/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Emerging Ent - West - 1;Medium;Low;Assigned;0;0;paid-content-syndication
12/16/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Enterprise - Central;Low;Low;Assigned;0;0;paid-content-syndication
12/19/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Enterprise - East;Medium;Low;Assigned;0;0;paid-content-syndication
12/21/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Enterprise - East;Low;Low;Assigned;0;0;paid-content-syndication
12/16/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 2;Low;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-retail_inspiration_guide;;;GSA CPG;Medium;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Emerging Ent - East - 2;Medium;Low;Assigned;0;0;paid-content-syndication
12/21/2022;fy22-amer-email_marketing_platform;undefined;email_marketing_platforms|email marketing platforms|p|g|c||516472499203;;Medium;;No Account Mapped;1;1;paid-search
12/21/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Emerging Ent - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
12/21/2022;fy23-q4-amer-retail_inspiration_guide;;;AMER Enterprise - East;Low;Low;Assigned;0;0;paid-content-syndication
11/18/2022;fy22-amer-email_marketing_platform;;email_marketing_services|email marketing services|p|g|c||516472499212#Cj0KCQiA99ybBhD9ARIsALvZavVYsnpwtvWxgADrGCWiNQfomJsA2b7bu3Nj557qaktiw1ydw21p4ioaAvYyEALw_wcB;;Medium;;No Account Mapped;1;1;paid-search
1/20/2023;fy23-q4-amer-modern_customer_retention_guide_nyny;;;AMER Scale - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
1/17/2023;fy23-q4-amer-customer_engagement_review_canada;;;AMER Emerging Ent - West - 2;Low;Low;Assigned;0;0;paid-content-syndication
11/23/2022;fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;AMER Scale - West - 1;Medium;High;Customer;0;1;paid-search
12/23/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Enterprise - Strat;High;Low;Unassigned;0;0;paid-content-syndication
11/7/2022;fy23-q3-amer-bau_retint;inspiration_guide;undefined;;High;Low;No Account Mapped;1;0;paid-social
12/9/2022;fy23-q4-amer-retail_inspiration_guide;;;AMER Scale - Central;Medium;Low;Assigned;0;0;paid-content-syndication
12/16/2022;fy23-q4-amer-customer_engagement_review_qsr;;;GSA AMER - West;Low;Low;Customer via Business Unit;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Enterprise - Central;Medium;Low;Unassigned;0;0;paid-content-syndication
12/19/2022;fy23-q4-amer-customer_engagement_review_canada;;;;Low;Low;Unassigned;0;0;paid-content-syndication
12/16/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 2;Low;Low;Assigned;0;0;paid-content-syndication
12/1/2022;fy23-q4-amer-mobile_marketing;inapp_message_guide;undefined;;Medium;Low;No Account Mapped;1;0;paid-social
12/16/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Scale - East - 1;Medium;Low;Assigned;0;0;paid-content-syndication
1/9/2023;fy22-amer-email_marketing;undefined;email_marketing|email marketing|e|g|m||542343632615;;Medium;Low;No Account Mapped;1;0;paid-search
12/9/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
1/25/2023;fy23-q4-amer-bau_ccmskill;measurement_guide;undefined;;High;Low;No Account Mapped;1;0;paid-social
12/21/2022;fy23-q4-amer-retail_inspiration_guide;;;AMER Emerging Ent - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
11/21/2022;fy23-q3-amer-remarketing_allsite;marketing_ecosystems_guide;undefined;Partnerships;Medium;Low;Tech Alliances;0;0;paid-social
12/9/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Scale - Central;Medium;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Enterprise - East;Low;Low;Assigned;0;0;paid-content-syndication
1/19/2023;fy23-q4-amer-bau_ccmskill;measurement_guide;undefined;;High;Medium;Unassigned;0;0;paid-social
12/19/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Emerging Ent - West - 1;Medium;Low;Assigned;0;0;paid-content-syndication
12/14/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Scale - Central;Medium;Low;Assigned;0;0;paid-content-syndication
11/14/2022;fy23-q4-amer-bau_retint;inspiration_guide;undefined;;Medium;Low;No Account Mapped;1;0;paid-social
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;;Medium;Low;Agency (Solutions Partners);0;0;paid-content-syndication
11/22/2022;fy22-amer-email_marketing_platform;;email_marketing_tool|email marketing tool|p|g|c||542343389162#Cj0KCQiAg_KbBhDLARIsANx7wAw3eRITEhesm57IbGmjDLWwukfjGe0k63j3HJWduxGJiGXq8NVetVEaAtVyEALw_wcB;;Low;;No Account Mapped;1;1;paid-search
