UTM_Campaign;UTM_Content ;UTM_Term;Marketing Qualified Date;Account Owner Territory;Marketo Qualification Level;Marketo Interest Level;Unmatched;Hand Raiser;UTM_Medium
fy22-amer-email_marketing;;email_marketing|email marketing|p|g|c||542343389210#CjwKCAiA2fmdBhBpEiwA4CcHzcT19lJ4EpmpFInFHjgd9moaOiVLt4sJCReZvkqqaEX2l-FHoNTbjBoCdLEQAvD_BwE;1/11/2023 2:49 PM;;High;;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402#Cj0KCQiA7bucBhCeARIsAIOwr-8VsAeZ98ypmx06ufkGFVOORF0XCStlEplz0-Xw_ahWS_u0GIik2WgaAtrBEALw_wcB;12/6/2022 4:05 PM;;Low;Low;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_clients|braze clients|e|g|c||502699581833;12/21/2022 12:00 AM;;High;;1;1;paid-search
fy22-amer-email_marketing;mt_email_marketing_platform_ad_copy_fy21;email_marketing|email marketing|p|g|c||542343632615#Cj0KCQiA1sucBhDgARIsAFoytUvpraaebyVLPl9Y4WAAo5MjOdGPZuE8LyilpY8zlHzrcpEdA2cWKyUaAs-1EALw_wcB;12/9/2022 12:24 PM;;High;Low;1;1;paid-search
fy23-q2-amer-mobile_marketing_guide;;;11/9/2022 12:00 AM;AMER Emerging Ent - West - 2;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;;platform_for_email_marketing|email service provider|p|g|c||542343389186#Cj0KCQiAn4SeBhCwARIsANeF9DJEql-xqryDT-xCDsQrj2VlqN4yt0SQ8pLx0UGgTKUW7LWy98nict4aAqPyEALw_wcB;1/13/2023 11:49 AM;SMB AMER - East;High;;1;1;paid-search
fy23-q4-amer-mobile_marketing;inapp_message_guide;undefined;12/8/2022 12:00 AM;AMER Enterprise - East;Medium;;0;0;paid-social
fy23-q4-amer-customer_engagement_review_qsr;;;1/4/2023 12:00 AM;AMER Emerging Ent - East - 2;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;11/2/2022 12:00 AM;SMB AMER - East;Medium;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_services|email marketing services|p|g|c||516472499212;1/16/2023 12:00 AM;AMER Scale - West - 1;Medium;Low;0;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;11/15/2022 12:00 AM;;Medium;;1;1;paid-search
fy23-q4-amer-best_in_class_email_guide;;;12/15/2022 12:00 AM;AMER Enterprise - West;High;Low;0;0;paid-content-syndication
Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;lifecycle-marketing_pm|lifecycle marketing|p|g|c||379480664589;1/9/2023 12:00 AM;AMER Enterprise - West;Medium;Low;0;0;paid-search
fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|p|g|m||542343389186;12/16/2022 12:00 AM;;Medium;;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;12/8/2022 12:00 AM;;Medium;Low;1;1;paid-search
fy23-q1-amer-snowflake_guide;snowflake_guide;;11/2/2022 12:00 AM;AMER Emerging Ent - West - 1;Medium;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;undefined;software_for_email_marketing|software for email marketing|e|g|c||542343389030;11/17/2022 12:00 AM;;High;;1;1;paid-search
fy23-q4-amer-best_in_class_email_guide;;;1/9/2023 12:00 AM;AMER Emerging Ent - West - 1;Medium;Low;0;0;paid-content-syndication
fy24-q3-amer-customer_engagement_review;;;1/13/2023 12:00 AM;AMER Enterprise - West;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;;email_marketing_agency|email marketing agency|e|g|c||587080375810#CjwKCAiAwc-dBhA7EiwAxPRylIzU_9mEP8wmkFE1dUZoab9LveWjg89xwgUvHbMeUY4VJ88sZOOM2RoC_pUQAvD_BwE;1/3/2023 12:49 PM;SMB AMER - East;Low;;0;1;paid-search
Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;lifecycle-marketing_pm|lifecycle marketing|p|g|c||379480664589;12/8/2022 12:00 AM;AMER Emerging Ent - West - 1;Medium;;0;0;paid-search
fy22-q1-amer-customer_engagement_review;customer_engagement_review;customer_engagement|customer engagement|p|g|c||499449654143;12/6/2022 12:00 AM;SMB AMER - Central;High;;0;0;paid-search
fy23-q-amer-retail_customer_engagement_review;;;11/9/2022 12:00 AM;AMER Enterprise - East;High;Medium;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze-pricing_em|braze pricing|e|g|c||502656816226#Cj0KCQiAic6eBhCoARIsANlox87nWqj_TGXK25hgcbGOM405U_BiwVbEO4WYcpbJ5EtJ2DT3h6-lfkkaAuB-EALw_wcB;1/27/2023 9:26 PM;;High;Low;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;12/5/2022 12:00 AM;AMER Emerging Ent - East - 2;Medium;;1;1;paid-search
fy23-q4-amer-bau_ccmskill;customer_engagement_ebook;undefined;1/31/2023 12:00 AM;AMER Scale - West - 1;High;Medium;0;0;paid-social
fy22-amer-email_marketing_platform;undefined;email_marketing_tool|email marketing tool|p|g|c||542343389162;11/25/2022 12:00 AM;;Low;Low;1;1;paid-search
fy23-q4-amer-customer_engagement_review_canada;;;1/9/2023 12:00 AM;AMER Enterprise - East;Medium;Low;0;0;paid-content-syndication
fy23-q4-amer-bau_smb;retention_guide;undefined;1/21/2023 12:00 AM;SMB AMER - East;High;;0;0;paid-social
fy22-amer-email_marketing_platform;undefined;email_marketing_services|email marketing services|p|g|c||516472499212;11/10/2022 12:00 AM;SMB AMER - Central;Medium;;0;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_agency|email marketing agency|e|g|m||587080375810;12/29/2022 12:00 AM;;High;;1;1;paid-search
fy22-amer-comp_direct_competitors;mt_competitor_ad_copy_fy22;bronto|onesignal|e|g|c||615917132795#Cj0KCQiA_bieBhDSARIsADU4zLecwt2FH6sszVaCNnjfdMsHFA6Ag3Wyh1svJJCm-Y5dPaa0RY1wU34aAhfQEALw_wcB;1/24/2023 11:38 AM;SMB AMER - East;High;;1;1;paid-search
fy23-q3-amer-modern_customer_retention_guide;;;12/13/2022 12:00 AM;AMER Scale - West - 1;High;Low;0;0;paid-content-syndication
fy23-q3-amer-modern_customer_retention_guide;;;11/18/2022 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-content-syndication
fy23-q4-amer-bau_smb;customer_engagement_ebook;undefined;11/28/2022 12:00 AM;SMB AMER - West;High;;1;1;paid-social
fy24-q1-amer-mobile_messaging_big;customer_engagement_review;;1/26/2023 12:00 AM;AMER Scale - West - 1;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;11/16/2022 12:00 AM;SMB AMER - West;High;;0;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_tool|email marketing tool|p|g|c||542343389165;1/8/2023 12:00 AM;;High;;1;1;paid-search
fy22-q1-amer-customer_engagement_review;customer_engagement_review;;12/15/2022 12:00 AM;AMER Emerging Ent - East - 2;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_email_marketing|braze email marketing|e|g|c||587080375624#Cj0KCQiA1NebBhDDARIsAANiDD1X3x8DTyabgOv4RYIOJdsCKjE8DoxbNWrUOOZjnNDZw-r7HqntjPcaAruyEALw_wcB;11/17/2022 1:20 PM;SMB AMER - East;Medium;Low;1;1;paid-search
fy23-q4-amer-remarketing_allsite;inspiration_guide;undefined;1/20/2023 12:00 AM;AMER Scale - Central;Low;Low;0;0;paid-social
Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;lifecycle-marketing_pm|lifecycle marketing data|p|g|m||379480664589;12/30/2022 12:00 AM;AMER Emerging Ent - West - 2;High;;0;0;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011#CjwKCAjwwL6aBhBlEiwADycBIM-_X6T_vlVcDiVixSUouAAzoq6PHYBSO7QKiqnlqfAB0rUqrI99whoCJrIQAvD_BwE;11/17/2022 12:00 AM;AMER Emerging Ent - East - 2;Medium;;0;0;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;11/28/2022 12:00 AM;AMER Emerging Ent - West - 1;Medium;;0;1;paid-search
fy23-q4-amer-remarketing_allsite_connect;connect_with_sales;undefined;1/17/2023 12:00 AM;;Medium;Low;1;1;paid-social
fy22-amer-comp_direct_competitors_iterable;undefined;|iterable vs braze|e|g|c||590778441514;1/11/2023 12:00 AM;AMER Scale - West - 1;Medium;Low;0;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_agency|email marketing agency|e|g|c||587080375810;12/21/2022 12:00 AM;;High;;1;1;paid-search
fy23-q4-amer-remarketing_allsite;inspiration_guide;undefined;1/21/2023 12:00 AM;AMER Emerging Ent - East - 2;Medium;Low;0;0;paid-social
fy22-amer-email_marketing_platform;;email_marketing_services|email marketing services|p|g|c||516472499212#Cj0KCQiA99ybBhD9ARIsALvZavVYsnpwtvWxgADrGCWiNQfomJsA2b7bu3Nj557qaktiw1ydw21p4ioaAvYyEALw_wcB;11/18/2022 3:07 PM;;Medium;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_agency|email marketing agency|p|g|m||587080375810;12/23/2022 12:00 AM;;High;;1;1;paid-search
fy23-q4-amer-retail_inspiration_guide;retention_guide;;12/9/2022 12:00 AM;AMER Enterprise - East;High;Low;0;0;paid-content-syndication
fy23-q4-amer-remarketing_allsite;inspiration_guide;undefined;1/9/2023 12:00 AM;AMER Enterprise - West;Medium;;0;0;paid-social
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402#CjwKCAjwh4ObBhAzEiwAHzZYUzncmXpvpWQzf-y-UpiEHj264gOm5m0BKZK4ae2TbB7z2j87iPq-qxoCi2YQAvD_BwE;11/8/2022 12:00 AM;AMER Scale - Central;High;Low;0;0;paid-search
fy23-q4-amer-best_in_class_email_guide;;;1/3/2023 12:00 AM;AMER Enterprise - Strat;High;Low;0;0;paid-content-syndication
fy24-q1-amer-finserv_inspiration_guide;;;12/16/2022 12:00 AM;AMER Emerging Ent - West - 2;High;Low;0;0;paid-content-syndication
fy23-q4-amer-retail_inspiration_guide;;;1/20/2023 12:00 AM;AMER Enterprise - Central;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing;undefined;email_marketing|email marketing|p|g|c||542343389210;1/29/2023 12:00 AM;;High;;1;1;paid-search
Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;lifecycle-marketing_pm|lifecycle marketing|p|g|c||379480664589;12/6/2022 12:00 AM;SMB AMER - East;High;Low;0;0;paid-search
fy23-q4-amer-best_in_class_email_guide;;;12/16/2022 12:00 AM;AMER Emerging Ent - West - 2;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;mt_email_marketing_platform_ad_copy_fy21;email_marketing_agency|email marketing agency|e|g|c||587080375678;1/20/2023 12:00 AM;AMER Scale - Central;Medium;;1;1;paid-search
fy23-q4-amer-best_in_class_email_guide;;;1/12/2023 12:00 AM;AMER Emerging Ent - East - 2;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|e|g|c||542343389186;12/20/2022 12:00 AM;SMB AMER - West;High;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|e|g|c||542343389186;11/7/2022 12:00 AM;;Medium;Low;1;1;paid-search
fy22-amer-marketing_automation;mt_marketing_automation_ad_copy_fy22;|marketing automation|p|g|c||511889409827;11/9/2022 12:00 AM;SMB AMER - East;Medium;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_services|email marketing services|p|g|c||516472499212;1/16/2023 12:00 AM;SMB AMER - East;High;;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_push_notifications|braze push notifications|e|g|c||587080375384;12/8/2022 12:00 AM;SMB AMER - West;High;High;0;0;paid-search
fy22-amer-email_marketing;undefined;email_marketing|email marketing|p|g|c||542343389210;11/2/2022 12:00 AM;SMB AMER - West;Medium;Low;0;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;11/7/2022 12:00 AM;SMB AMER - Central;Medium;;1;1;paid-search
fy23-q4-amer-modern_customer_retention_guide;;;12/12/2022 12:00 AM;AMER Emerging Ent - West - 2;High;Low;0;0;paid-content-syndication
fy23-q4-amer-bau_groups;retention_guide;undefined;1/30/2023 12:00 AM;AMER Emerging Ent - West - 1;Medium;Low;0;0;paid-social
fy24-q4-amer-email_big;;;12/13/2022 12:00 AM;AMER Scale - Central;Medium;Low;0;0;paid-content-syndication
